"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U5,U4,U6,U7";"DIP-24_W7.62mm";4;"MAX7219";;;
2;"TP1,TP2";"TestPoint_THTPad_D2.0mm_Drill1.0mm";2;"TestPoint";;;
3;"BZ1";"Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm";1;"Buzzer";;;
4;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
5;"C9,C14,C11,C15";"C_0805_2012Metric";4;"C_0805_10uf";;;
6;"C6";"C_0805_2012Metric";1;"C_0805_1uf";;;
7;"Y1";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
8;"U3";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
9;"D4,D2,D5,D3";"KWM-30881CVB";4;"KWM-30881CVB";;;
10;"R5,R6";"R_0805_2012Metric";2;"R_0805_4.7K";;;
11;"C1,C12,C8,C13,C2,C7,C5,C10";"C_0805_2012Metric";8;"C_0805_0.1uf";;;
12;"R17,R4,R3";"R_0805_2012Metric";3;"R_0805_47";;;
13;"J3,J1";"PinHeader_1x06_P2.54mm_Vertical";2;"Conn_01x06";;;
14;"SW3,SW2,SW4,SW1";"SW_SPST_Omron_B3FS-100xP";4;"Omron_B3F_SPST";;;
15;"R13,R1,R11,R12";"R_0805_2012Metric";4;"R_0805_10K";;;
16;"J2";"PJ-102AH";1;"PJ-102AH";;;
17;"C3,C4";"C_0805_2012Metric";2;"C_0805_22pf";;;
18;"R15";"R_0805_2012Metric";1;"R_0805_100K";;;
19;"R14";"R_LDR_4.9x4.2mm_P2.54mm_Vertical";1;"PhotoconductivePhotocell";;;
20;"U2";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
21;"Y2";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
22;"R10,R7,R9,R8";"R_0805_2012Metric";4;"R_0805_22K";;;
23;"U1";"TO-252-2";1;"L7805";;;
24;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
25;"D1";"LED_0805_2012Metric";1;"LED_0805";;;
26;"R2";"R_0805_2012Metric";1;"R_0805_2.2K";;;
27;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
