Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",4.242768,0.699999,0.000000,top
"BZ1","Buzzer","Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm",1.200000,0.400000,0.000000,top
"C1","C_0805_0.1uf","C_0805_2012Metric",3.468898,0.975591,0.000000,top
"C2","C_0805_0.1uf","C_0805_2012Metric",3.600000,0.800000,0.000000,top
"C3","C_0805_22pf","C_0805_2012Metric",2.867323,1.100000,0.000000,top
"C4","C_0805_22pf","C_0805_2012Metric",2.067323,1.100000,180.000000,top
"C5","C_0805_0.1uf","C_0805_2012Metric",0.200000,0.900000,-90.000000,top
"C6","C_0805_1uf","C_0805_2012Metric",1.700000,0.300000,90.000000,top
"C7","C_0805_0.1uf","C_0805_2012Metric",2.200000,0.300000,90.000000,top
"C8","C_0805_0.1uf","C_0805_2012Metric",0.700000,1.290551,-90.000000,top
"C9","C_0805_10uf","C_0805_2012Metric",0.497244,1.300000,-90.000000,top
"C10","C_0805_0.1uf","C_0805_2012Metric",4.600000,1.300000,0.000000,top
"C11","C_0805_10uf","C_0805_2012Metric",4.400000,1.200000,0.000000,top
"C12","C_0805_0.1uf","C_0805_2012Metric",3.300000,1.300000,0.000000,top
"C13","C_0805_0.1uf","C_0805_2012Metric",2.000000,1.300000,0.000000,top
"C14","C_0805_10uf","C_0805_2012Metric",3.100000,1.300000,0.000000,top
"C15","C_0805_10uf","C_0805_2012Metric",1.800000,1.300000,0.000000,top
"D1","LED_0805","LED_0805_2012Metric",3.900000,0.900000,180.000000,top
"D2","KWM-30881CVB","KWM-30881CVB",0.900000,2.500000,0.000000,top
"D3","KWM-30881CVB","KWM-30881CVB",4.800000,2.500000,0.000000,top
"D4","KWM-30881CVB","KWM-30881CVB",3.500000,2.500000,0.000000,top
"D5","KWM-30881CVB","KWM-30881CVB",2.200000,2.500000,0.000000,top
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",0.800000,0.683268,0.000000,top
"J2","PJ-102AH","PJ-102AH",2.457087,0.288614,-90.000000,top
"J3","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",5.400000,1.100000,0.000000,top
"J4","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",0.500000,0.700000,0.000000,top
"R1","R_0805_10K","R_0805_2012Metric",1.800000,0.800000,0.000000,top
"R2","R_0805_2.2K","R_0805_2012Metric",3.800000,0.800000,0.000000,top
"R3","R_0805_47","R_0805_2012Metric",1.000000,0.700000,90.000000,top
"R4","R_0805_47","R_0805_2012Metric",0.975591,0.975591,-90.000000,top
"R5","R_0805_4.7K","R_0805_2012Metric",4.200000,0.300000,180.000000,top
"R6","R_0805_4.7K","R_0805_2012Metric",4.200000,0.200000,180.000000,top
"R7","R_0805_22K","R_0805_2012Metric",0.981496,1.300000,0.000000,top
"R8","R_0805_22K","R_0805_2012Metric",5.000000,1.300000,0.000000,top
"R9","R_0805_22K","R_0805_2012Metric",3.500000,1.200000,180.000000,top
"R10","R_0805_22K","R_0805_2012Metric",2.200000,1.300000,180.000000,top
"R11","R_0805_10K","R_0805_2012Metric",1.200000,3.300000,0.000000,top
"R12","R_0805_10K","R_0805_2012Metric",2.500000,3.300000,0.000000,top
"R13","R_0805_10K","R_0805_2012Metric",3.800000,3.300000,0.000000,top
"R14","PhotoconductivePhotocell","R_LDR_4.9x4.2mm_P2.54mm_Vertical",4.800000,3.300000,0.000000,top
"R15","R_0805_100K","R_0805_2012Metric",5.100000,3.300000,0.000000,top
"R17","R_0805_47","R_0805_2012Metric",1.545669,0.660630,0.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",0.500000,1.000000,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",1.500000,3.300000,0.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.800000,3.300000,0.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.100000,3.300000,0.000000,top
"U1","L7805","TO-252-2",1.960039,0.351378,90.000000,top
"U2","ATmega328-PU","DIP-28_W7.62mm",3.300000,0.949606,-90.000000,top
"U3","DS1307_DIP-8","DIP-8_W7.62mm",3.750394,0.549606,0.000000,top
"U4","MAX7219","DIP-24_W7.62mm",1.450197,1.749606,-90.000000,top
"U5","MAX7219","DIP-24_W7.62mm",5.350197,1.749606,-90.000000,top
"U6","MAX7219","DIP-24_W7.62mm",4.050197,1.749606,-90.000000,top
"U7","MAX7219","DIP-24_W7.62mm",2.750197,1.749606,-90.000000,top
"Y1","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",3.450787,0.300000,-90.000000,top
"Y2","Crystal_16MHz","Crystal_SMD_HC49-SD",2.500000,1.100000,180.000000,top
